kontrakty godzinowe RDN dla okresu od;2016-12-31;do;2020-06-30;

data obrotu;data dostawy;godzina dostawy;kurs fixingu I (PLN/MWh);wolumen fixingu I (MWh);kurs fixingu II (PLN/MWh);wolumen fixingu II (MWh);kurs notowan ciaglych (PLN/MWh);wolumen notowan ciaglych (MWh)
2017-01-03;2017-01-04;16;158.71;2568.40;155.85;1155.10;158.71;26.00
2017-01-03;2017-01-04;17;173.71;2567.40;166.45;1361.10;168.40;88.50
2017-01-03;2017-01-04;18;175.86;2633.50;166.84;1290.00;-;-
2017-01-03;2017-01-04;19;165.64;2716.90;165.34;1293.10;165.64;20.00
2017-01-03;2017-01-04;20;165.49;2756.10;165.30;1294.10;165.67;22.40
2017-01-03;2017-01-04;21;163.17;2835.50;163.05;1398.10;162.30;75.60
2017-01-03;2017-01-04;22;139.12;2924.60;145.78;687.70;-;-
2017-01-03;2017-01-04;23;136.51;2801.90;142.74;464.30;139.47;39.50
2017-01-03;2017-01-04;24;124.99;2573.10;131.23;826.30;136.77;30.00
2017-01-04;2017-01-05;01;102.61;2647.20;102.57;723.90;102.86;65.10
2017-01-04;2017-01-05;02;100.84;2773.20;101.13;756.20;101.44;57.90
2017-01-04;2017-01-05;03;100.00;2834.30;100.82;765.70;101.06;51.50
2017-01-04;2017-01-05;04;100.69;2645.10;100.82;743.60;101.29;66.50
2017-01-04;2017-01-05;05;101.71;2587.90;106.64;841.10;106.63;10.00
2017-01-04;2017-01-05;06;111.48;2479.50;117.76;904.20;117.37;20.00
2017-01-04;2017-01-05;07;126.46;2458.40;131.10;573.70;-;-
2017-01-04;2017-01-05;08;135.41;2599.30;138.68;687.20;-;-
2017-01-04;2017-01-05;09;156.89;2574.30;161.34;706.60;157.00;20.00
2017-01-04;2017-01-05;10;176.02;2607.40;183.97;730.70;181.55;58.00
2017-01-04;2017-01-05;11;178.18;2616.00;188.34;930.20;181.19;116.80
2017-01-04;2017-01-05;12;182.30;2508.60;194.91;914.40;190.96;23.00
2017-01-04;2017-01-05;13;180.76;2527.30;194.99;706.30;194.69;43.00
2017-01-04;2017-01-05;14;180.69;2485.70;195.43;621.30;186.56;43.00
2017-01-04;2017-01-05;15;178.34;2613.50;196.88;966.30;192.13;43.00
2017-01-04;2017-01-05;16;175.89;2214.10;196.70;705.90;186.26;55.00
2017-01-04;2017-01-05;17;193.54;2091.90;218.19;812.10;216.41;258.10
2017-01-04;2017-01-05;18;210.78;2478.30;301.73;641.60;262.97;280.90
2017-01-04;2017-01-05;19;200.33;2247.70;218.89;810.00;219.16;215.30
2017-01-04;2017-01-05;20;196.92;2069.70;217.49;690.60;206.52;214.00
2017-01-04;2017-01-05;21;196.95;2058.20;197.34;361.10;197.05;123.50
2017-01-04;2017-01-05;22;176.26;2651.90;184.01;287.90;177.97;84.00
2017-01-04;2017-01-05;23;155.71;2963.20;160.86;585.00;158.76;117.50
2017-01-04;2017-01-05;24;151.21;2573.40;151.58;756.60;-;-
2017-01-05;2017-01-06;01;134.77;1698.50;136.44;880.20;-;-
2017-01-05;2017-01-06;02;132.81;1803.40;135.26;948.60;135.22;30.00
2017-01-05;2017-01-06;03;130.80;1916.10;135.22;907.40;140.00;10.00
2017-01-05;2017-01-06;04;130.61;1923.00;136.31;937.90;140.00;10.00
2017-01-05;2017-01-06;05;130.95;1906.80;137.01;1131.00;141.33;30.00
2017-01-05;2017-01-06;06;132.73;2025.30;136.74;1171.90;141.10;25.80
2017-01-05;2017-01-06;07;99.40;2178.80;99.54;476.90;99.25;55.00
2017-01-05;2017-01-06;08;109.35;2212.90;109.67;471.00;102.30;37.00
2017-01-05;2017-01-06;09;125.17;2114.50;125.09;429.00;130.00;100.00
2017-01-05;2017-01-06;10;150.31;2556.90;148.66;679.30;140.00;52.80
2017-01-05;2017-01-06;11;158.81;2784.00;150.85;640.60;141.91;138.00
2017-01-05;2017-01-06;12;161.34;2822.30;150.98;672.70;158.23;100.90
2017-01-05;2017-01-06;13;165.79;2914.90;152.46;650.50;162.35;105.40
2017-01-05;2017-01-06;14;169.91;3016.80;169.49;664.00;-;-
2017-01-05;2017-01-06;15;163.99;2800.00;154.95;629.30;164.00;86.00
2017-01-05;2017-01-06;16;164.29;2887.60;158.22;612.50;164.21;63.00
2017-01-05;2017-01-06;17;178.26;3164.40;177.87;669.80;-;-
2017-01-05;2017-01-06;18;180.60;3096.30;182.89;600.90;-;-
2017-01-05;2017-01-06;19;183.89;3021.40;181.06;460.80;180.00;10.00
2017-01-05;2017-01-06;20;171.24;2965.30;156.36;658.80;-;-
2017-01-05;2017-01-06;21;169.91;2950.40;140.92;797.00;-;-
2017-01-05;2017-01-06;22;153.79;2656.90;138.42;1062.80;-;-
2017-01-05;2017-01-06;23;149.22;2145.80;132.50;1070.70;142.50;50.00
2017-01-05;2017-01-06;24;140.17;2028.80;132.42;438.10;-;-
2017-01-06;2017-01-07;01;139.54;2520.50;129.41;181.70;128.14;22.00
2017-01-06;2017-01-07;02;133.98;2132.50;127.13;253.20;133.98;2.00
2017-01-06;2017-01-07;03;128.01;2131.30;123.02;246.00;126.80;29.90
2017-01-06;2017-01-07;04;124.54;2180.80;121.10;308.10;124.13;40.50
2017-01-06;2017-01-07;05;124.08;2132.90;121.97;321.70;124.01;22.00
2017-01-06;2017-01-07;06;128.99;2181.00;124.58;203.00;126.92;24.00
2017-01-06;2017-01-07;07;110.18;2070.40;109.66;393.40;113.50;52.00
2017-01-06;2017-01-07;08;124.59;2155.50;128.28;288.90;124.35;61.80
2017-01-06;2017-01-07;09;133.99;1807.30;131.57;391.90;133.99;10.00
2017-01-06;2017-01-07;10;151.70;2037.40;137.80;1106.10;137.36;82.00
2017-01-06;2017-01-07;11;152.78;2127.50;138.46;1137.70;138.43;22.00
2017-01-06;2017-01-07;12;153.67;2193.80;140.04;1111.70;138.52;22.00
2017-01-06;2017-01-07;13;153.66;2273.90;142.81;1122.90;141.21;59.10
2017-01-06;2017-01-07;14;153.65;2266.70;143.03;1122.90;143.25;96.80
2017-01-06;2017-01-07;15;153.67;2398.20;142.85;1122.90;143.42;47.30
2017-01-06;2017-01-07;16;150.51;2137.40;144.12;683.50;143.34;44.40
2017-01-06;2017-01-07;17;153.72;2128.70;151.98;516.60;145.80;25.00
2017-01-06;2017-01-07;18;161.07;2151.70;155.05;447.30;155.00;46.50
2017-01-06;2017-01-07;19;156.31;2162.60;150.49;538.00;-;-
2017-01-06;2017-01-07;20;155.52;2147.70;146.41;709.30;143.00;23.00
2017-01-06;2017-01-07;21;168.53;2302.10;143.42;1050.10;168.53;2.00
2017-01-06;2017-01-07;22;151.73;2367.60;143.42;1138.40;144.04;27.00
2017-01-06;2017-01-07;23;147.47;1803.80;139.78;988.20;147.47;3.60
2017-01-06;2017-01-07;24;138.01;2124.20;134.33;617.70;138.01;2.00
2017-01-07;2017-01-08;01;135.49;1978.10;133.76;234.00;75.00;14.00
2017-01-07;2017-01-08;02;132.04;2244.10;133.28;258.50;75.00;14.00
2017-01-07;2017-01-08;03;128.72;2350.70;132.81;461.20;75.00;14.00
2017-01-07;2017-01-08;04;125.61;2336.80;132.85;506.70;75.00;14.00
2017-01-07;2017-01-08;05;128.12;2314.20;133.24;397.60;75.00;14.00
2017-01-07;2017-01-08;06;132.00;2256.00;133.55;219.60;75.00;14.00
2017-01-07;2017-01-08;07;120.00;2287.10;127.15;569.20;75.00;14.00
2017-01-07;2017-01-08;08;120.44;2537.20;133.02;599.60;101.57;24.40
2017-01-07;2017-01-08;09;132.00;2187.00;134.99;349.90;75.00;14.00
2017-01-07;2017-01-08;10;149.40;2350.80;143.55;846.00;75.00;14.00
2017-01-07;2017-01-08;11;151.07;2445.20;153.87;1029.70;101.29;21.30
2017-01-07;2017-01-08;12;152.80;2680.80;155.89;978.60;120.18;33.30
2017-01-07;2017-01-08;13;152.33;2720.90;165.11;1030.90;145.74;76.00
2017-01-07;2017-01-08;14;152.20;2687.80;162.25;1077.50;134.02;47.00
2017-01-07;2017-01-08;15;151.66;2673.60;154.26;1100.50;75.00;14.00
2017-01-07;2017-01-08;16;152.04;2626.80;154.35;969.80;75.00;14.00
2017-01-07;2017-01-08;17;153.68;2679.70;156.42;773.10;75.00;14.00
2017-01-07;2017-01-08;18;154.62;2457.50;154.84;643.20;75.00;14.00
2017-01-07;2017-01-08;19;154.67;2416.40;149.26;729.90;75.00;14.00
2017-01-07;2017-01-08;20;154.63;2559.70;144.74;916.90;75.00;14.00
2017-01-07;2017-01-08;21;150.13;2424.60;136.79;1118.00;75.00;14.00
2017-01-07;2017-01-08;22;150.12;2467.90;143.29;1119.10;75.00;14.00
2017-01-07;2017-01-08;23;145.68;1825.50;134.11;1105.70;75.00;14.00
2017-01-07;2017-01-08;24;135.50;1887.30;131.22;567.90;75.00;14.00
2017-01-08;2017-01-09;01;135.65;2919.10;133.74;177.00;127.28;126.00
2017-01-08;2017-01-09;02;131.00;2842.20;126.63;174.30;123.74;146.00
2017-01-08;2017-01-09;03;131.16;3019.80;126.11;204.40;122.31;128.60
2017-01-08;2017-01-09;04;131.17;2911.60;126.85;206.50;121.76;126.50
2017-01-08;2017-01-09;05;135.31;2718.90;129.24;179.70;124.22;143.30
2017-01-08;2017-01-09;06;141.67;3060.40;135.09;117.10;145.00;10.00
2017-01-08;2017-01-09;07;150.09;2874.50;151.60;298.10;151.00;50.00
2017-01-08;2017-01-09;08;174.06;1978.70;189.30;456.00;180.00;34.90
2017-01-08;2017-01-09;09;180.01;1741.80;189.79;546.20;-;-
2017-01-08;2017-01-09;10;183.84;1414.10;197.20;566.90;189.12;33.50
2017-01-08;2017-01-09;11;183.92;1304.20;199.04;611.70;189.00;33.00
2017-01-08;2017-01-09;12;184.59;1352.50;197.86;625.30;189.73;133.00
2017-01-08;2017-01-09;13;185.47;1446.00;198.08;684.70;189.70;128.00
2017-01-08;2017-01-09;14;189.76;1623.70;203.74;841.20;191.88;58.00
2017-01-08;2017-01-09;15;184.57;1472.00;197.99;635.80;192.00;76.20
2017-01-08;2017-01-09;16;184.90;1436.10;188.11;641.50;189.00;33.00
2017-01-08;2017-01-09;17;195.45;1752.10;210.06;862.70;211.00;1.00
2017-01-08;2017-01-09;18;195.56;1609.60;203.74;761.60;195.56;10.00
2017-01-08;2017-01-09;19;191.51;1779.80;189.21;699.10;190.86;23.30
2017-01-08;2017-01-09;20;184.51;1705.10;183.46;745.30;-;-
2017-01-08;2017-01-09;21;175.81;1757.40;173.98;994.30;-;-
2017-01-08;2017-01-09;22;164.33;1868.00;143.60;1104.50;164.33;76.00
2017-01-08;2017-01-09;23;146.94;2209.90;134.07;1172.40;-;-
2017-01-08;2017-01-09;24;130.99;2010.40;126.56;849.40;130.00;20.00
2017-01-09;2017-01-10;01;135.03;2019.50;130.64;135.60;-;-
2017-01-09;2017-01-10;02;133.67;2048.80;131.20;139.00;-;-
2017-01-09;2017-01-10;03;129.65;2066.70;122.60;144.20;112.07;30.00
2017-01-09;2017-01-10;04;129.65;1953.70;124.14;144.40;110.00;20.00
2017-01-09;2017-01-10;05;132.03;1892.90;127.52;141.70;117.33;30.00
2017-01-09;2017-01-10;06;135.04;2077.00;130.22;138.80;-;-
2017-01-09;2017-01-10;07;149.44;2389.30;140.70;508.20;-;-
2017-01-09;2017-01-10;08;169.89;2099.50;175.00;863.00;900.01;0.10
2017-01-09;2017-01-10;09;173.00;1866.20;179.91;811.80;636.57;182.00
2017-01-09;2017-01-10;10;176.33;1341.90;175.31;1016.60;309.71;54.80
2017-01-09;2017-01-10;11;176.35;1372.50;175.31;1103.20;694.52;162.00
2017-01-09;2017-01-10;12;178.96;1294.70;175.88;1143.80;794.48;136.00
2017-01-09;2017-01-10;13;178.95;1321.80;176.89;1069.00;789.54;137.10
2017-01-09;2017-01-10;14;179.97;1465.50;178.16;1020.60;715.91;156.10
2017-01-09;2017-01-10;15;176.84;1306.40;175.05;1234.10;726.21;152.90
2017-01-09;2017-01-10;16;175.95;1489.70;174.08;1255.40;665.21;171.90
2017-01-09;2017-01-10;17;184.89;1810.20;177.19;991.10;794.95;136.10
2017-01-09;2017-01-10;18;191.26;1930.80;181.76;828.20;900.00;116.00
2017-01-09;2017-01-10;19;179.83;1692.70;175.05;1022.40;900.01;0.10
2017-01-09;2017-01-10;20;178.53;1636.20;170.70;1261.10;826.79;129.10
2017-01-09;2017-01-10;21;169.54;2108.10;162.28;1189.60;182.18;10.10
2017-01-09;2017-01-10;22;162.75;1845.80;156.84;1229.60;-;-
2017-01-09;2017-01-10;23;149.78;3120.20;136.05;1163.80;-;-
2017-01-09;2017-01-10;24;137.96;2272.70;123.16;806.30;-;-
2017-01-10;2017-01-11;01;127.61;2306.40;117.83;188.50;-;-
2017-01-10;2017-01-11;02;122.82;2067.00;114.09;188.50;-;-
2017-01-10;2017-01-11;03;113.47;1878.70;108.22;227.90;-;-
2017-01-10;2017-01-11;04;108.35;1789.00;103.93;253.30;-;-
2017-01-10;2017-01-11;05;114.79;1799.40;108.21;211.30;-;-
2017-01-10;2017-01-11;06;122.85;1782.00;115.27;188.60;-;-
2017-01-10;2017-01-11;07;128.89;1578.30;126.81;459.60;-;-
2017-01-10;2017-01-11;08;155.00;1990.50;132.69;984.20;-;-
2017-01-10;2017-01-11;09;162.89;1959.70;134.27;1374.40;-;-
2017-01-10;2017-01-11;10;163.00;1940.20;143.31;1441.50;158.00;2.00
2017-01-10;2017-01-11;11;161.61;1920.40;146.65;1441.60;160.37;62.00
2017-01-10;2017-01-11;12;162.48;2034.80;154.11;1441.70;157.48;2.00
2017-01-10;2017-01-11;13;159.99;2055.20;141.38;1441.60;154.99;2.00
2017-01-10;2017-01-11;14;157.01;2037.40;138.84;1491.50;152.01;2.00
2017-01-10;2017-01-11;15;150.27;2176.40;129.88;1118.00;145.27;2.00
2017-01-10;2017-01-11;16;143.14;2251.30;131.33;1026.10;-;-
2017-01-10;2017-01-11;17;159.99;2285.90;139.36;1418.20;-;-
2017-01-10;2017-01-11;18;163.16;2319.90;143.18;1532.10;-;-
2017-01-10;2017-01-11;19;159.99;2360.60;132.78;1435.80;-;-
2017-01-10;2017-01-11;20;155.40;2196.00;127.82;1279.40;-;-
2017-01-10;2017-01-11;21;137.00;2171.00;125.50;773.00;-;-
2017-01-10;2017-01-11;22;114.88;2301.80;121.91;661.30;120.00;200.00
2017-01-10;2017-01-11;23;120.99;2243.30;114.75;211.10;-;-
2017-01-10;2017-01-11;24;89.98;1973.50;106.10;669.80;92.78;35.20
2017-01-11;2017-01-12;01;98.49;1956.20;96.66;733.20;-;-
2017-01-11;2017-01-12;02;89.31;2091.00;78.79;602.00;84.90;68.00
2017-01-11;2017-01-12;03;79.11;2032.80;75.78;635.70;72.00;65.00
2017-01-11;2017-01-12;04;74.37;1996.70;75.99;799.60;73.76;140.00
2017-01-11;2017-01-12;05;80.01;2036.40;83.80;855.40;-;-
2017-01-11;2017-01-12;06;98.48;2295.50;107.60;891.10;99.80;10.00
2017-01-11;2017-01-12;07;116.90;1965.70;123.34;242.40;125.00;20.00
2017-01-11;2017-01-12;08;135.64;2159.80;134.47;943.50;136.00;20.00
2017-01-11;2017-01-12;09;145.44;2022.80;144.58;1175.30;-;-
2017-01-11;2017-01-12;10;159.99;2041.50;157.94;1461.80;-;-
2017-01-11;2017-01-12;11;156.42;2184.90;158.42;1539.20;-;-
2017-01-11;2017-01-12;12;157.91;2141.00;160.31;1458.10;-;-
2017-01-11;2017-01-12;13;154.77;2214.10;155.27;1419.60;-;-
2017-01-11;2017-01-12;14;159.99;2234.10;159.69;1489.20;-;-
2017-01-11;2017-01-12;15;155.00;2109.60;151.55;1545.30;-;-
2017-01-11;2017-01-12;16;156.57;2195.00;161.53;1413.60;-;-
2017-01-11;2017-01-12;17;168.29;2184.90;167.05;1494.40;-;-
2017-01-11;2017-01-12;18;174.14;1920.40;171.04;1494.30;-;-
2017-01-11;2017-01-12;19;168.89;1966.80;166.97;1495.10;-;-
2017-01-11;2017-01-12;20;166.98;2032.40;165.61;1495.80;-;-
2017-01-11;2017-01-12;21;160.00;2130.70;159.61;1489.20;-;-
2017-01-11;2017-01-12;22;143.57;2217.80;142.09;1544.20;-;-
2017-01-11;2017-01-12;23;143.69;2174.20;137.27;1163.10;140.00;50.00
2017-01-11;2017-01-12;24;122.69;1903.20;126.28;909.50;120.00;50.00
2017-01-12;2017-01-13;01;132.54;1710.30;132.79;189.00;133.00;0.50
2017-01-12;2017-01-13;02;121.28;1837.60;126.69;283.50;121.28;12.60
2017-01-12;2017-01-13;03;119.30;2003.70;127.04;279.50;119.30;12.20
2017-01-12;2017-01-13;04;122.28;1958.80;127.04;249.10;-;-
2017-01-12;2017-01-13;05;132.46;1672.10;137.17;205.60;135.00;20.00
2017-01-12;2017-01-13;06;136.16;1523.00;138.07;215.40;138.00;107.00
2017-01-12;2017-01-13;07;142.44;1765.30;149.68;482.40;142.00;32.20
2017-01-12;2017-01-13;08;175.78;1691.00;180.53;422.00;-;-
2017-01-12;2017-01-13;09;179.69;1507.70;194.83;434.90;194.40;45.00
2017-01-12;2017-01-13;10;180.22;1531.00;194.74;430.30;196.41;75.00
2017-01-12;2017-01-13;11;176.90;1766.70;193.25;418.40;193.14;105.90
2017-01-12;2017-01-13;12;179.47;1639.70;193.12;621.70;194.23;101.00
2017-01-12;2017-01-13;13;180.42;1473.60;180.35;706.10;197.43;20.00
2017-01-12;2017-01-13;14;180.39;1343.70;180.09;796.60;190.00;6.00
2017-01-12;2017-01-13;15;177.31;1450.00;179.74;805.80;-;-
2017-01-12;2017-01-13;16;173.78;1423.90;180.00;674.20;180.00;25.00
2017-01-12;2017-01-13;17;179.69;1506.80;192.11;656.40;192.11;35.00
2017-01-12;2017-01-13;18;195.39;1428.40;208.60;549.80;208.33;45.00
2017-01-12;2017-01-13;19;189.39;1596.50;193.42;761.20;199.20;25.00
2017-01-12;2017-01-13;20;178.69;1601.80;179.08;1133.70;190.00;20.00
2017-01-12;2017-01-13;21;167.69;1992.40;166.09;1305.10;-;-
2017-01-12;2017-01-13;22;142.25;2234.80;136.52;939.70;150.00;64.90
2017-01-12;2017-01-13;23;142.43;1925.80;135.03;849.90;142.43;50.00
2017-01-12;2017-01-13;24;124.99;1726.40;130.66;295.60;126.43;40.10
2017-01-13;2017-01-14;01;130.00;1902.30;130.16;228.50;-;-
2017-01-13;2017-01-14;02;120.35;2095.20;126.50;421.70;-;-
2017-01-13;2017-01-14;03;115.37;2004.50;125.01;575.30;-;-
2017-01-13;2017-01-14;04;108.81;1844.10;124.40;702.50;-;-
2017-01-13;2017-01-14;05;114.64;1740.00;124.88;625.70;-;-
2017-01-13;2017-01-14;06;115.97;1833.90;125.45;599.60;-;-
2017-01-13;2017-01-14;07;127.61;2057.40;129.31;145.30;-;-
2017-01-13;2017-01-14;08;132.92;2130.50;130.54;540.70;-;-
2017-01-13;2017-01-14;09;145.39;1964.00;134.14;998.80;145.00;24.00
2017-01-13;2017-01-14;10;154.44;2677.60;149.18;1151.10;154.50;52.00
2017-01-13;2017-01-14;11;159.67;2783.50;163.03;1176.20;164.39;76.00
2017-01-13;2017-01-14;12;162.49;2727.50;171.89;1176.00;166.80;78.00
2017-01-13;2017-01-14;13;157.90;2653.20;158.30;1127.20;158.00;26.00
2017-01-13;2017-01-14;14;153.31;2647.90;150.10;1139.20;153.00;20.00
2017-01-13;2017-01-14;15;148.93;2693.60;141.28;1158.60;149.00;16.00
2017-01-13;2017-01-14;16;150.59;2947.70;143.26;1136.50;151.00;15.00
2017-01-13;2017-01-14;17;170.22;2878.50;160.67;1105.10;172.00;16.00
2017-01-13;2017-01-14;18;170.31;2745.60;164.88;1160.00;171.00;15.00
2017-01-13;2017-01-14;19;170.22;2700.90;163.03;1105.10;171.00;12.00
2017-01-13;2017-01-14;20;159.08;2458.10;152.42;1122.10;159.00;13.00
2017-01-13;2017-01-14;21;148.48;2052.50;140.93;1173.20;148.00;10.00
2017-01-13;2017-01-14;22;138.90;2183.50;134.44;772.30;133.00;10.00
2017-01-13;2017-01-14;23;137.01;2080.80;132.65;709.80;137.01;25.00
2017-01-13;2017-01-14;24;131.84;2182.50;129.58;324.20;131.84;31.00
2017-01-14;2017-01-15;01;127.73;2004.50;126.44;240.70;126.80;0.30
2017-01-14;2017-01-15;02;120.10;2063.30;124.35;524.00;-;-
2017-01-14;2017-01-15;03;114.92;2008.80;119.08;642.10;-;-
2017-01-14;2017-01-15;04;113.85;2002.40;118.03;716.00;-;-
